0,1,2,3
3762,1056,Fuorcla Pitschna,Bergname
3762,1057,Muott'Auta,Bergname
3921,1059,Chüpfenflua,Bergname
3921,1060,Strela,Bergname
3746,1064,Fuorcla dal Linard,Bergname
3851,1066,Strelapass,Bergname
3746,1069,Fuorcla Gronda,Bergname
3762,1069,Fuorcla Gronda,Bergname
3851,1070,Seehora,Bergname
3851,1071,Gross Schiahora,Bergname
3871,1074,Piz Zadrell,Bergname
3746,1076,Piz d'Anschatscha,Bergname
3762,1076,Piz d'Anschatscha,Bergname
3575,1079,Crest da Tiarms,Bergname
3619,1079,Crest da Tiarms,Bergname
3851,1082,Hüreli,Bergname
3921,1084,Hauter Hora,Bergname
3851,1089,Salezerhora,Bergname
3746,1092,Fuorcla d'Anschatscha,Bergname
3762,1092,Fuorcla d'Anschatscha,Bergname
3746,1093,Fuorcla Zadrell,Bergname
3746,1094,Piz Tiatscha,Bergname
3619,1095,Fuorcla da Ranasca,Bergname
3871,1097,Tällichopf,Bergname
3746,1098,Chapütsch Alba,Bergname
3762,1099,Piz Clünas,Bergname
3762,1100,Piz la Greala,Bergname
3762,1101,Fuorcla Clünas,Bergname
3921,1102,Aachchübel,Bergname
3762,1103,Mot Ruderas,Bergname
3746,1104,Piz Fliana,Bergname
3871,1105,Wasserscheidi,Bergname
3921,1106,Blakter Fürggli,Bergname
3871,1107,Ross Chopf,Bergname
3871,1108,Gatschieferspitz,Bergname
3921,1109,Weissfluh,Bergname
3921,1110,Stelli,Bergname
3746,1111,Chapütschin,Bergname
3746,1112,Schwarzchopf,Bergname
3871,1113,Rothorn,Bergname
3921,1114,Zenjiflua,Bergname
3762,1118,Minschun Pitschen,Bergname
3746,1119,Vernelasattel,Bergname
3871,1120,Wintertällifurgga,Bergname
3619,1121,Crap Tgietschen,Bergname
3619,1122,Rotstock,Bergname
3851,1123,Totalphora,Bergname
3762,1124,Piz da las Clavigliadas,Bergname
3762,1125,Mot da Ri,Bergname
3871,1126,Wisshorn,Bergname
3871,1127,Roggenhorn,Bergname
3762,1128,Muot da l'Hom,Bergname
3871,1129,Bürgenchopf,Bergname
3921,1130,Blakter Flua,Bergname
3871,1131,Gitzihöreli,Bergname
3732,1134,Piz Aulta,Bergname
3981,1135,Piz Fluaz,Bergname
3746,1136,Verstanclahorn,Bergname
3734,1137,Mutta Sut,Bergname
3762,1138,Piz Minschun,Bergname
3746,1139,Verstanclasattel,Bergname
3746,1140,Torwache,Bergname
3871,1141,Roggenfurgga,Bergname
3619,1142,Fuorcla da Sagogn,Bergname
3619,1143,Pass dil Veptga,Bergname
3619,1144,Panixerpass,Bergname
3762,1145,Furcletta,Bergname
3746,1146,Verstanclator,Bergname
3851,1147,Schwarzhorn,Bergname
3871,1148,Hohliecht,Bergname
3871,1149,Lauizughorn,Bergname
3871,1150,Jegerbüel,Bergname
3733,1151,Foppachopf,Bergname
3921,1152,Spitzabüel,Bergname
3762,1156,Piz Furcletta,Bergname
3734,1157,Mutta Sura,Bergname
3921,1162,Schafturra,Bergname
3762,1163,Piz Oscar,Bergname
3871,1164,Parsennfurgga,Bergname
3762,1165,Piz Buin Pitschen,Bergname
3762,1166,Kleiner Piz Buin,Bergname
3733,1167,Sennastei,Bergname
3921,1168,Mattjisch Horn,Bergname
3871,1169,Canardhorn,Bergname
3762,1170,Piz Marsch,Bergname
3762,1172,Fuorcla Buin,Bergname
3762,1173,Buinlücke,Bergname
3762,1174,Piz Chaschlogna,Bergname
3871,1175,Quaderahöreli,Bergname
3762,1176,Piz Buin Grond,Bergname
3762,1177,Grosser Piz Buin,Bergname
3762,1180,Piz Champatsch,Bergname
3871,1182,Silvrettapass,Bergname
3901,1183,Fürhörnli,Bergname
3921,1185,Casannapass,Bergname
3762,1186,Piz Tuoi,Bergname
3762,1187,Piz Urezzas,Bergname
1631,1188,Ringgenchopf,Bergname
3871,1189,Chremersattel,Bergname
3762,1190,Piz Soèr,Bergname
3762,1191,Fuorcla Soèr,Bergname
3921,1192,Seehorn,Bergname
3762,1193,Muot Raduond,Bergname
3762,1194,Piz Mon,Bergname
3871,1195,Medjichopf,Bergname
3762,1196,Fuorcla Vermunt,Bergname
3762,1197,Vermuntpass,Bergname
3871,1198,Signalhorn,Bergname
3762,1199,Piz Jeramias,Bergname
3762,1200,Hinter Jamspitz,Bergname
